OBJECTID,DuuID,Meta_ProcessID,ProcessDescription,ProcessDate,AttributeAccuracyreport,LogicalConsistencyReport,CompletenessReport,HorizPositionalAccuracyReport,VertPositionalAccuracyReport,MetadataStandardName,MetadataStandardVersion,MetadataDate,DataSetCredit,ContactOrganization,AddressType,Address,City,StateOrProvince,PostalCode,ContactVoiceTelephone,ContactInstructions,ContactEmailAddress
","(303) 202-4526
","Monday-Friday 7AM-3PM CST
",None

16,24996,24996, Modified flow relationships for this subbasin.,2/2/2002," The accuracy of the attributes of the Digital Line Graph 
 data is estimated to be 98.5 percent. One or more of the 
 following methods were used to test attribute accuracy: 
 manual comparison of the source with hardcopy plots; 
 symbolized display of the digital line graph on an 
 interactive computer graphic system; selected attributes 
 that could not be visually verified on plots or on screen 
 were interactively queried and verified on screen. In 
 addition, software validated feature types and 
 characteristics against a master set of types and 
 characteristics,checked that combinations of types and 
 characteristics were valid, and that types and 
 characteristics were valid for the delineation of the 
 feature. Feature types, characteristics, and other 
 attributes conform to the Standards for National 
 Hydrography Dataset - High Resolution (USGS, 1999) as of 
 the date they were loaded into the database. All names 
 on the 1:24,000-scale reaches were validated against a 
 April 1999 extract from the Geographic Names Information 
 System. The entry and identifier for the names match those 
 in the Geographic Names Information System. The association 
 of each name to reaches has been interactively checked 
 against the April 1999 Geographic Names Information System 
 names extract, however, operator error could in some cases 
 apply a name to a wrong reach. The accuracy of CFF attributes
 is unknown. 
"," Points, nodes, lines, and areas conform to topological rules.  
 Lines intersect only at nodes, and all nodes anchor the ends 
 of lines.  Lines do not overshoot or undershoot other lines 
 where they are supposed to meet. There are no duplicate lines. 
 Lines bound areas and lines identify the areas to the left and 
 right of the lines.  Gaps and overlaps among areas do not 
 exist.  All areas close.
"," The completeness of the data reflects the published map and 
 other sources.  Features found on the ground may have been 
 eliminated or generalized on the source graphic because of 
 scale and legibility constraints. In general, streams longer 
 than one mile (approximately 1.6 kilometers) were collected. 
 Most streams that flow from a lake were collected regardless 
 of their length. Only definite channels were collected so 
 not all swamp/marsh features have stream/rivers delineated 
 through them.  Lake/ponds 100 feet or greater in the shortest 
 axis were collected.  Note, however, that these general rules 
 were applied unevenly among maps during compilation. Transport
 reaches are defined on nearly all features of type stream/river,
 canal/ditch, artificial path, and connector. Detailed capture  
 conditions are provided for every feature type in the Standards 
 for National Hydrography Dataset - High Resolution (USGS, 1999),
 available online through http://mapping.usgs.gov/standards/.
"," Statements of horizontal positional accuracy are based on 
 accuracy statements made for U.S. Geological Survey topographic 
 quadrangle maps. These maps were compiled to meet National Map 
 Accuracy Standards. For horizontal accuracy, this standard is 
 met if at least 90 percent of points tested are within 0.02 
 inch (at map scale) of the true position.  Additional offsets 
 to positions may have been introduced where feature density is 
 high to improve the legibility of map symbols.In addition, the 
 digitizing of maps is estimated to contain a horizontal 
 positional error of less than or equal to 0.003 inch standard 
 error(at map scale) in the two component directions relative 
 to the source maps.  Visual comparison between the map graphic 
 (including digital scans of the graphic) and plots or digital 
 displays of points, lines, and areas, is used as control to 
 assess the positional accuracy of digital data. Digital map 
